id;order_number;order_status;customer_number;legal_id
1;orange Wells;morph Yemeni Rial Bacon;Borders;Nevada
2;leverage;Clothing Technician;Handcrafted Tactics;Dynamic cross-platform B2B
3;calculate;Cambridgeshire optimal next-generation;payment;Branding Expressway Granite
4;Orchestrator;Architect evolve;Prairie Representative;violet THX
5;Multi-lateral Personal Loan Account;complexity Minnesota Fantastic Metal Hat;Cambridgeshire Estates;generate
6;Checking Account Dynamic Checking Account;SMTP e-enable;local Fully-configurable;North Korean Won Licensed
7;monitor Global;reinvent Palestinian Territory;payment;initiatives leading edge Home
8;Right-sized;reboot Metal;Agent Product Gabon;Estate Massachusetts bandwidth
9;olive Table process improvement;Taiwan cross-platform Home Loan Account;Licensed Small grid-enabled;PNG SSL Washington
10;B2C;Granite;Michigan secondary RSS;online
