id;procuct_name;product_id;amount;price
1;function;program generating;64013;Practical Switchable
2;deposit;Awesome Wooden Soap attitude;77503;scale haptic Ball
3;Engineer driver Intelligent;Lempira Configuration Human;54729;24/7 architectures
4;parse California auxiliary;payment Guinea-Bissau;34783;Money Market Account Pants
5;red Personal Loan Account;Buckinghamshire;60229;Computer Outdoors
6;payment;Outdoors fuchsia;99891;District
7;navigating portal Dynamic;Virginia Surinam Dollar silver;78978;French Southern Territories input
8;turn-key next generation;array;60303;Intelligent Fresh Shirt Kansas action-items
9;Cotton wireless;haptic deposit navigating;15456;Gorgeous Wyoming circuit
10;connecting Minnesota;Buckinghamshire Licensed;50875;transmit Meadow
